angle,curLapTime,damage,distFromStart,distRaced,fuel,gear,lastLapTime,racePos,rpm,speedX,speedY,speedZ,trackPos,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,z,focus_0,focus_1,focus_2,focus_3,focus_4,accel,brake,clutch,gear.1,steer,focus_0.1,focus_1.1,focus_2.1,focus_3.1,focus_4.1,meta,sector,lap,avg_speed,min_speed,max_brake,brake_start,brake_duration,sector_time,throttle_reapply
-0.0508239,13.01,0,384.623,394.623,93.6239,2,0,1,7374.07,97.1756,-0.483256,-2.75167,-0.765864,68.1139,59.1962,86.2549,86.2549,0.339742,-1,-1,-1,-1,-1,0.9,0.3,0,2,0.7129556,-90,-45,0,45,90,0,1,3,180.1,179.82,0,,0,9.02,100.71
-0.501963,14.01,0,408.067,418.067,93.5919,2,0,1,6240.62,82.1836,-1.03884,-2.34038,0.363425,65.2491,61.0268,72.9838,72.9838,0.341905,-1,-1,-1,-1,-1,0.9,0.2534795,0,2,0.243041,-90,-45,0,45,90,0,1,2,136.19,84.47,0,,0,12.994,20.41
-0.501963,14.01,0,408.067,418.067,93.5919,2,0,1,6240.62,82.1836,-1.03884,-2.34038,0.363425,65.2491,61.0268,72.9838,72.9838,0.341905,-1,-1,-1,-1,-1,0.9,0.2534795,0,2,0.243041,-90,-45,0,45,90,0,1,3,180.1,179.82,0,,0,9.02,100.71
0.404384,15.01,0,433.997,443.997,93.5601,2,0,1,6382.8,84.4624,5.37421,-3.5922,0.961828,69.2334,16.6295,74.6618,74.6618,0.35703,-1,-1,-1,-1,-1,0.9,0.204561,0,2,0.552377886,-90,-45,0,45,90,0,1,2,136.19,84.47,0,,0,12.994,20.41
0.404384,15.01,0,433.997,443.997,93.5601,2,0,1,6382.8,84.4624,5.37421,-3.5922,0.961828,69.2334,16.6295,74.6618,74.6618,0.35703,-1,-1,-1,-1,-1,0.9,0.204561,0,2,0.552377886,-90,-45,0,45,90,0,1,3,180.1,179.82,0,,0,9.02,100.71
-0.0728281,16.012,0,457.056,467.056,93.5263,2,0,1,7420.36,79.3412,-20.0755,-1.38247,-0.157361,62.806,56.5851,86.7913,86.7913,0.344007,-1,-1,-1,-1,-1,0.9,0.0323931,0,2,0.6852138,-90,-45,0,45,90,0,1,2,136.19,84.47,0,,0,12.994,20.41
-0.0728281,16.012,0,457.056,467.056,93.5263,2,0,1,7420.36,79.3412,-20.0755,-1.38247,-0.157361,62.806,56.5851,86.7913,86.7913,0.344007,-1,-1,-1,-1,-1,0.9,0.0323931,0,2,0.6852138,-90,-45,0,45,90,0,1,3,180.1,179.82,0,,0,9.02,100.71
-0.588748,17.002,0,477.846,487.846,93.4935,2,0,1,5941.71,67.2084,-20.3181,-3.16734,-0.181198,44.7467,32.7002,69.5347,69.5347,0.346245,-1,-1,-1,-1,-1,0.9,0.287806,0,2,0.174388,-90,-45,0,45,90,0,1,2,136.19,84.47,0,,0,12.994,20.41
-0.588748,17.002,0,477.846,487.846,93.4935,2,0,1,5941.71,67.2084,-20.3181,-3.16734,-0.181198,44.7467,32.7002,69.5347,69.5347,0.346245,-1,-1,-1,-1,-1,0.9,0.287806,0,2,0.174388,-90,-45,0,45,90,0,1,3,180.1,179.82,0,,0,9.02,100.71
-0.397,18.014,0,495.017,505.016,93.474,2,0,1,4306.26,57.5932,-0.149326,-1.54442,0.861492,43.8142,47.1007,50.3976,50.3976,0.350836,-1,-1,-1,-1,-1,0.9,0.201999,0,2,-0.726807087,-90,-45,0,45,90,0,1,2,136.19,84.47,0,,0,12.994,20.41
-0.397,18.014,0,495.017,505.016,93.474,2,0,1,4306.26,57.5932,-0.149326,-1.54442,0.861492,43.8142,47.1007,50.3976,50.3976,0.350836,-1,-1,-1,-1,-1,0.9,0.201999,0,2,-0.726807087,-90,-45,0,45,90,0,1,3,180.1,179.82,0,,0,9.02,100.71
0.182957,19.004,0,514.745,524.745,93.4548,2,0,1,5219.67,67.7316,0.601052,0.327011,0.843046,57.0544,55.0107,60.7041,60.7041,0.341944,-1,-1,-1,-1,-1,0.9,0.090767,0,2,0.176534,-90,-45,0,45,90,0,1,2,136.19,84.47,0,,0,12.994,20.41
0.182957,19.004,0,514.745,524.745,93.4548,2,0,1,5219.67,67.7316,0.601052,0.327011,0.843046,57.0544,55.0107,60.7041,60.7041,0.341944,-1,-1,-1,-1,-1,0.9,0.090767,0,2,0.176534,-90,-45,0,45,90,0,1,3,180.1,179.82,0,,0,9.02,100.71
0.168823,20.016,0,536.437,546.437,93.43,2,0,1,6038.84,79.2237,-0.0362454,0.164106,0.22691,66.6129,64.2532,70.6186,70.6186,0.342971,-1,-1,-1,-1,-1,0.9,0.084853,0,2,0.164706,-90,-45,0,45,90,0,1,2,136.19,84.47,0,,0,12.994,20.41
0.168823,20.016,0,536.437,546.437,93.43,2,0,1,6038.84,79.2237,-0.0362454,0.164106,0.22691,66.6129,64.2532,70.6186,70.6186,0.342971,-1,-1,-1,-1,-1,0.9,0.084853,0,2,0.164706,-90,-45,0,45,90,0,1,3,180.1,179.82,0,,0,9.02,100.71
0.0130059,21.006,0,560.59,570.59,93.3988,2,0,1,7320.51,95.3406,-0.0585544,-0.185816,-0.0771638,80.1325,79.9684,85.5981,85.5981,0.340914,-1,-1,-1,-1,-1,0.9,0,0,2,0.008755,-90,-45,0,45,90,0,2,2,149.67,149.28,0,,0,6.006,561.01
0.0130059,21.006,0,560.59,570.59,93.3988,2,0,1,7320.51,95.3406,-0.0585544,-0.185816,-0.0771638,80.1325,79.9684,85.5981,85.5981,0.340914,-1,-1,-1,-1,-1,0.9,0,0,2,0.008755,-90,-45,0,45,90,0,2,3,179.9,179.72,0,,0,4.994,550.94
0.00449913,22.018,0,587.302,597.302,93.364,2,0,1,7293.3,95.1088,-0.00192139,-0.187974,-0.105853,79.8461,79.8467,85.2803,85.2803,0.340786,-1,-1,-1,-1,-1,0.9,0,0,2,-0.00049133,-90,-45,0,45,90,0,2,2,149.67,149.28,0,,0,6.006,561.01
0.00449913,22.018,0,587.302,597.302,93.364,2,0,1,7293.3,95.1088,-0.00192139,-0.187974,-0.105853,79.8461,79.8467,85.2803,85.2803,0.340786,-1,-1,-1,-1,-1,0.9,0,0,2,-0.00049133,-90,-45,0,45,90,0,2,3,179.9,179.72,0,,0,4.994,550.94
-0.0754026,23.008,0,615.875,625.875,93.3256,2,0,1,8700.07,115.065,0.740034,-0.360082,0.193802,95.5092,96.508,101.738,101.738,0.339007,-1,-1,-1,-1,-1,0.9,0.0379042,0,2,-0.0508084,-90,-45,0,45,90,0,2,2,149.67,149.28,0,,0,6.006,561.01
-0.0754026,23.008,0,615.875,625.875,93.3256,2,0,1,8700.07,115.065,0.740034,-0.360082,0.193802,95.5092,96.508,101.738,101.738,0.339007,-1,-1,-1,-1,-1,0.9,0.0379042,0,2,-0.0508084,-90,-45,0,45,90,0,2,3,179.9,179.72,0,,0,4.994,550.94
-0.0620435,24.02,0,648.961,658.961,93.2957,3,0,1,6601.25,120.222,0.452803,-0.3221,0.599965,100.164,100.874,104.773,104.773,0.337917,-1,-1,-1,-1,-1,0.9,0.0312442,0,3,-0.0374884,-90,-45,0,45,90,0,2,2,149.67,149.28,0,,0,6.006,561.01
-0.0620435,24.02,0,648.961,658.961,93.2957,3,0,1,6601.25,120.222,0.452803,-0.3221,0.599965,100.164,100.874,104.773,104.773,0.337917,-1,-1,-1,-1,-1,0.9,0.0312442,0,3,-0.0374884,-90,-45,0,45,90,0,2,3,179.9,179.72,0,,0,4.994,550.94
0.0265433,25.01,0,681.464,691.464,93.2655,3,0,1,6610.4,120.04,0.97313,-0.124073,0.844035,100.339,101.216,104.918,104.918,0.33789,-1,-1,-1,-1,-1,0.9,0,0,3,-0.045290316,-90,-45,0,45,90,0,2,2,149.67,149.28,0,,0,6.006,561.01
0.0265433,25.01,0,681.464,691.464,93.2655,3,0,1,6610.4,120.04,0.97313,-0.124073,0.844035,100.339,101.216,104.918,104.918,0.33789,-1,-1,-1,-1,-1,0.9,0,0,3,-0.045290316,-90,-45,0,45,90,0,2,3,179.9,179.72,0,,0,4.994,550.94
-0.0150436,26,0,714.278,724.278,93.2353,3,0,1,6603.49,119.917,-0.380819,0.518249,0.805729,100.107,101.185,104.806,104.806,0.337658,-1,-1,-1,-1,-1,0.9,0,0,3,-0.110555324,-90,-45,0,45,90,0,2,2,149.67,149.28,0,,0,6.006,561.01
-0.0150436,26,0,714.278,724.278,93.2353,3,0,1,6603.49,119.917,-0.380819,0.518249,0.805729,100.107,101.185,104.806,104.806,0.337658,-1,-1,-1,-1,-1,0.9,0,0,3,-0.110555324,-90,-45,0,45,90,0,2,3,179.9,179.72,0,,0,4.994,550.94
