angle,curLapTime,damage,distFromStart,distRaced,fuel,gear,lastLapTime,opponents_0,opponents_1,opponents_2,opponents_3,opponents_4,opponents_5,opponents_6,opponents_7,opponents_8,opponents_9,opponents_10,opponents_11,opponents_12,opponents_13,opponents_14,opponents_15,opponents_16,opponents_17,opponents_18,opponents_19,opponents_20,opponents_21,opponents_22,opponents_23,opponents_24,opponents_25,opponents_26,opponents_27,opponents_28,opponents_29,opponents_30,opponents_31,opponents_32,opponents_33,opponents_34,opponents_35,racePos,rpm,speedX,speedY,speedZ,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,trackPos,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,z,focus_0,focus_1,focus_2,focus_3,focus_4,accel,brake,clutch,gear,steer,focus_0,focus_1,focus_2,focus_3,focus_4,meta
0.00360167,21.006,1,685.955,710.954,93.7212,4,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,6232.68,149.34,-0.167015,0.216223,20.6162,64.3966,177.215,140.206,120.422,111.36,106.769,102.895,100.209,97.5924,95.0449,92.5668,89.2131,85.5449,79.1322,68.033,53.947,40.9419,21.8074,0.0567017,125.865,125.117,127.002,126.283,0.334427,-1,-1,-1,-1,-1,0.9,0,0,4,0.026512416,-90,-45,0,45,90,0
0.0030576,22.018,1,728.145,753.143,93.7121,5,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,5188.03,150.026,-0.167507,0.1728,20.9003,65.8358,177.009,139.886,120.041,110.953,106.349,102.465,99.7726,97.1498,94.5968,92.1133,88.7534,85.0794,78.6591,67.5575,53.4934,40.5414,21.5515,0.0434855,126.436,125.698,127.58,126.869,0.334572,-1,-1,-1,-1,-1,0.9,0,0,5,0.025336732,-90,-45,0,45,90,0
0.00300801,23.008,1,769.4,794.399,93.7054,4,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,6264.34,149.358,-0.155481,0.179038,21.1614,67.4268,176.632,139.43,119.548,110.445,105.836,101.947,99.2526,96.6278,94.073,91.5885,88.228,84.5543,78.1373,67.0523,53.0325,40.1507,21.3167,0.0318095,125.84,125.17,126.939,126.274,0.334379,-1,-1,-1,-1,-1,0.9,0,0,4,0.026141483,-90,-45,0,45,90,0
0.00271618,24.02,1,811.545,836.543,93.6971,4,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,6336.87,149.731,-0.128537,0.165911,21.3944,68.7833,176.397,139.109,119.183,110.061,105.444,101.548,98.8493,96.2208,93.6626,91.1754,87.8114,84.1346,77.7151,66.6344,52.6422,39.8124,21.1066,0.0211304,126.168,125.47,127.31,126.639,0.33411,-1,-1,-1,-1,-1,0.9,0,0,4,0.029324939071416787,-90,-45,0,45,90,0
0.00250018,25.01,1,852.749,877.747,93.6885,5,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,5228.19,150.145,-0.075589,0.145305,21.601,70.0573,176.169,138.808,118.843,109.706,105.082,101.181,98.4787,95.8469,93.2863,90.7968,87.4301,83.7511,77.3305,66.2562,52.2909,39.5098,20.9203,0.0117086,126.532,125.805,127.678,126.979,0.334391,-1,-1,-1,-1,-1,0.9,0,0,5,0.033477588801198076,-90,-45,0,45,90,0
0.00164521,26,1,893.958,918.956,93.682,4,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,6238.5,149.487,-0.166346,0.133721,21.7706,70.7371,176.263,138.802,118.776,109.61,104.97,101.057,98.3462,95.7063,93.1378,90.6406,87.2643,83.5752,77.1378,66.0401,52.062,39.2904,20.7652,0.003243,125.979,125.25,127.117,126.417,0.334563,-1,-1,-1,-1,-1,0.9,0,0,4,0.026408882,-90,-45,0,45,90,0
0.00126922,27.012,1,936.045,961.043,93.6736,5,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,5170.84,149.835,-0.186136,0.0980469,21.9366,71.6883,176.163,138.631,118.564,109.38,104.732,100.812,98.097,95.4531,92.8807,90.3799,86.999,83.3058,76.8626,65.7615,51.7947,39.0542,20.6144,-0.00455526,126.253,125.562,127.395,126.73,0.334566,-1,-1,-1,-1,-1,0.9,0,0,4,0.022623823978764758,-90,-45,0,45,90,0
0.00149584,28.002,1,977.204,1002.2,93.6662,4,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,6397.01,149.47,-0.127185,0.0985128,22.0972,73.0219,176.017,138.252,118.173,108.987,104.338,100.418,97.7035,95.0608,92.4891,89.9901,86.6116,82.9219,76.487,65.4076,51.4837,38.7999,20.4705,-0.0114522,125.872,125.19,129.24,129.24,0.334597,-1,-1,-1,-1,-1,0.9,0,0,4,0.028943517092652027,-90,-45,0,45,90,0
0.00113034,29.014,1,1019.27,1044.27,93.6586,4,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,6300.5,149.572,-0.125558,0.0944604,22.2292,73.7896,179.67,138.513,118.024,108.822,104.166,100.239,97.5208,94.8734,92.2987,89.7958,86.4134,82.7191,76.2783,65.1935,51.2757,38.614,20.3502,-0.0177266,126.049,125.321,127.189,126.489,0.334234,-1,-1,-1,-1,-1,0.9,0,0,4,0.029654436832620867,-90,-45,0,45,90,0
0.00101089,30.004,1,1060.41,1085.41,93.65,5,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,5210.9,150,-0.0850005,0.0839107,22.351,74.6702,188.376,142.867,119.903,109.782,104.761,100.578,97.7092,94.9388,92.2645,89.6848,86.2282,82.4924,76.045,64.9647,51.0641,38.4328,20.2399,-0.0232768,126.419,125.671,127.562,126.842,0.334589,-1,-1,-1,-1,-1,0.9,0,0,5,0.032445278,-90,-45,0,45,90,0
0.000586987,31.016,1,1102.44,1127.44,93.6434,4,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,6174.41,149.284,-0.162867,0.082432,22.4551,69.6559,200,153.683,127.977,116.508,110.79,106.017,102.739,99.5714,96.5118,93.5599,89.6049,85.3334,78.0085,65.7797,51.0923,38.2911,20.1443,-0.0283752,125.781,125.106,126.919,126.27,0.334314,-1,-1,-1,-1,-1,0.9,0,0,4,0.024588679,-90,-45,0,45,90,0
0.000451803,32.006,1,1143.57,1168.57,93.6351,5,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,5154.45,149.733,0.0349071,-0.460228,22.3738,61.0027,200,167.787,140.027,127.44,121.113,115.807,112.15,108.605,105.172,101.852,97.3907,92.5587,84.2437,70.32,53.6594,39.3825,20.1675,-0.0325358,126.05,125.591,127.195,126.756,0.335715,-1,-1,-1,-1,-1,0.9,0,0,4,0.020786668,-90,-45,0,45,90,0
0.000221014,33.006,1,1185.13,1210.13,93.6274,4,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,6410.29,149.922,0.10222,-2.86331,22.3474,60.8488,200,168.012,140.191,127.597,121.267,115.958,112.298,108.749,105.314,101.99,97.525,92.6881,84.3642,70.4224,53.7371,39.4372,20.1913,-0.0315938,126.171,125.652,129.496,129.496,0.334805,-1,-1,-1,-1,-1,0.9,0,0,4,0.021615853,-90,-45,0,45,90,0
-2.15E-06,34.006,1,1226.72,1251.72,93.6219,4,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,6167.16,149.648,0.069243,-4.04516,22.3222,60.701,200,182.899,142.017,127.854,121.415,116.101,112.439,108.888,105.45,102.123,97.6541,92.8123,84.4794,70.5208,53.8119,39.4896,20.2138,-0.0307007,126.026,125.469,127.166,126.632,0.333898,-1,-1,-1,-1,-1,0.9,0,0,4,0.020340193542675144,-90,-45,0,45,90,0
6.58035e-05,35.006,1,1268.31,1293.31,93.6157,5,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,5148.6,149.77,0.0401924,-3.92383,22.3092,60.6693,200,200,175.507,145.783,133.74,124.742,119.033,113.832,109.074,104.706,99.159,93.5146,84.5366,70.5385,53.8312,39.5076,20.2261,-0.0300395,126.095,125.605,127.239,126.768,0.333467,-1,-1,-1,-1,-1,0.9,0,0,4,0.016845995,-90,-45,0,45,90,0
0.000288486,36.006,1,1309.87,1334.87,93.6081,4,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,2,6409.47,150.22,0.0817024,-2.37098,22.3012,58.1045,118.526,200,200,200,200,200,192.292,174.409,159.58,147.086,132.571,119.155,100.197,76.1349,54.6225,39.5101,20.2343,-0.0294352,126.406,125.921,129.462,129.462,0.331229,-1,-1,-1,-1,-1,0.9,0,0,4,0.019798572997982617,-90,-45,0,45,90,0
