speedX,speedY,speedZ,rpm,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,steer,accel,brake
70.4552,0.241634,1.20446,5229.98,7.22286,7.16579,7.62518,8.78738,11.274,14.602,17.3748,21.6509,29.0118,44.469,96.7551,148.733,48.4103,26.0541,13.732,8.33155,6.28736,5.34091,4.9344,59.3575,58.9004,61.1513,61.1513,-0.00690151928357873,0.6,0
73.2199,0.120716,1.23704,5433.48,6.55494,6.48302,6.87617,7.89268,10.0669,12.9541,15.3372,18.9716,25.1139,37.5605,75.6075,152.748,62.3435,31.6042,16.1278,9.63916,7.22479,6.11065,5.62643,61.6049,61.3592,63.5371,63.5371,-0.0307476134985051,0.6,0
76.0142,-0.0275036,1.33242,5642.21,5.83143,5.76979,6.1223,7.03102,8.97473,11.5584,13.6934,16.9543,22.4781,33.7215,68.5119,150.004,69.1494,35.3536,18.121,10.8522,8.14134,6.88981,6.34667,63.8088,63.8276,65.9752,65.9752,-0.0472087294489536,0.6,0
78.8306,-0.121165,1.36651,5851.72,5.10812,5.07116,5.40008,6.22855,8.00138,10.3782,12.3626,15.4307,20.734,31.9624,70.8942,142.654,67.4418,36.7186,19.4808,11.8569,8.9607,7.61892,7.04416,66.008,66.3834,68.4288,68.4288,-0.0568175106142675,0.6,0
81.6678,-0.136136,1.34035,6063.6,4.43574,4.42817,4.74334,5.51115,7.15754,9.39906,11.3053,14.3181,19.7248,32.0845,87.715,131.572,61.2908,36.2008,20.1919,12.601,9.63534,8.25507,7.6784,68.2094,68.859,70.9084,70.9084,-0.0724248274299873,0,0.5
84.518,-0.138393,1.4282,6277.31,3.85455,3.87532,4.18292,4.90677,6.46647,8.63714,10.532,13.6247,19.4989,34.7422,150.183,116.396,54.1969,34.5683,20.3484,13.0741,10.1401,8.76972,8.21908,70.5277,71.3435,73.4095,73.4095,-0.0835387692009911,0,0.5
70.6118,1.06024,1.28077,4160.67,3.41045,3.46109,3.77435,4.4861,6.0356,8.26556,10.2917,13.7726,21.0535,45.4004,135.491,86.519,46.2976,31.77,19.8263,13.1858,10.4088,9.11095,8.62336,45.6247,48.0586,44.7425,52.708,-0.0892174184406938,0.6,0
56.2276,1.79713,0.981445,3255.1,3.13193,3.21806,3.55842,4.30756,5.97173,8.49774,10.947,15.546,27.1652,145.21,116.225,60.8423,38.3214,28.125,18.6585,12.9128,10.4153,9.2559,8.87286,29.6224,35.7375,33.717,42.5176,-0.0882075079084856,0.6,0
57.5958,-0.517689,0.999013,4264.92,3.08908,3.20439,3.58224,4.40114,6.25826,9.21904,12.2738,18.5675,38.7132,131.2,94.2799,49.2536,33.5063,25.5363,17.5973,12.51,10.2461,9.20737,8.91125,47.9355,48.7545,49.8735,49.8735,-0.0824693530359399,0.6,0
60.0743,-0.5301,1.06485,4453.55,3.19515,3.34248,3.77364,4.70027,6.84873,10.4517,14.4257,23.5648,65.6664,118.211,70.1434,41.6322,29.7615,23.2963,16.5217,12.0008,9.95519,9.03121,8.81381,50.1191,50.8714,52.0775,52.0775,-0.072988857125158,0.6,0
